  i          x            density        pressure        velocity
  79   1.4068137E+00   8.5507107E-01   5.1354572E-02   5.0851736E-02
  80   1.4248497E+00   8.4899247E-01   5.0747558E-02   5.3106222E-02
  81   1.4428859E+00   8.4294254E-01   5.0146282E-02   5.5360753E-02
  82   1.4609219E+00   8.3692163E-01   4.9550731E-02   5.7615239E-02
  83   1.4789580E+00   8.3092928E-01   4.8960838E-02   5.9869770E-02
  84   1.4969940E+00   8.2496572E-01   4.8376594E-02   6.2124256E-02
  85   1.5150301E+00   8.1903082E-01   4.7797941E-02   6.4378776E-02
  86   1.5330662E+00   8.1312424E-01   4.7224820E-02   6.6633284E-02
  87   1.5511023E+00   8.0724633E-01   4.6657227E-02   6.8887793E-02
  88   1.5691384E+00   8.0139667E-01   4.6095088E-02   7.1142316E-02
  89   1.5871744E+00   7.9557544E-01   4.5538396E-02   7.3396809E-02
  90   1.6052105E+00   7.8978235E-01   4.4987082E-02   7.5651333E-02
  91   1.6232466E+00   7.8401762E-01   4.4441134E-02   7.7905826E-02
  92   1.6412827E+00   7.7828097E-01   4.3900501E-02   8.0160350E-02
  93   1.6593187E+00   7.7257222E-01   4.3365128E-02   8.2414843E-02
  94   1.6773548E+00   7.6689166E-01   4.2835001E-02   8.4669366E-02
  95   1.6953908E+00   7.6123893E-01   4.2310074E-02   8.6923860E-02
  96   1.7134269E+00   7.5561398E-01   4.1790292E-02   8.9178383E-02
  97   1.7314630E+00   7.5001693E-01   4.1275647E-02   9.1432877E-02
  98   1.7494991E+00   7.4444741E-01   4.0766068E-02   9.3687400E-02
  99   1.7675352E+00   7.3890567E-01   4.0261548E-02   9.5941924E-02
 100   1.7855712E+00   7.3339152E-01   3.9762039E-02   9.8196417E-02
 101   1.8036073E+00   7.2790474E-01   3.9267484E-02   1.0045094E-01
 102   1.8216434E+00   7.2244555E-01   3.8777873E-02   1.0270543E-01
 103   1.8396795E+00   7.1701360E-01   3.8293149E-02   1.0495996E-01
 104   1.8577155E+00   7.1160901E-01   3.7813295E-02   1.0721445E-01
 105   1.8757516E+00   7.0623171E-01   3.7338264E-02   1.0946897E-01
 106   1.8937876E+00   7.0088142E-01   3.6868006E-02   1.1172347E-01
 107   1.9118237E+00   6.9555831E-01   3.6402512E-02   1.1397799E-01
 108   1.9298599E+00   6.9026214E-01   3.5941724E-02   1.1623250E-01
 109   1.9478959E+00   6.8499303E-01   3.5485618E-02   1.1848701E-01
 110   1.9659320E+00   6.7975080E-01   3.5034157E-02   1.2074152E-01
 111   1.9839680E+00   6.7453527E-01   3.4587290E-02   1.2299602E-01
 112   2.0020041E+00   6.6934663E-01   3.4145009E-02   1.2525053E-01
 113   2.0200403E+00   6.6418451E-01   3.3707250E-02   1.2750505E-01
 114   2.0380762E+00   6.5904909E-01   3.3274006E-02   1.2975954E-01
 115   2.0561123E+00   6.5394026E-01   3.2845225E-02   1.3201405E-01
 116   2.0741484E+00   6.4885789E-01   3.2420881E-02   1.3426857E-01
 117   2.0921845E+00   6.4380181E-01   3.2000922E-02   1.3652308E-01
 118   2.1102204E+00   6.3877219E-01   3.1585332E-02   1.3877757E-01
 119   2.1282566E+00   6.3376868E-01   3.1174066E-02   1.4103210E-01
 120   2.1462927E+00   6.2879151E-01   3.0767102E-02   1.4328660E-01
 121   2.1643288E+00   6.2384051E-01   3.0364402E-02   1.4554112E-01
 122   2.1823649E+00   6.1891538E-01   2.9965917E-02   1.4779565E-01
 123   2.2004008E+00   6.1401635E-01   2.9571638E-02   1.5005013E-01
 124   2.2184370E+00   6.0914320E-01   2.9181510E-02   1.5230463E-01
 125   2.2364731E+00   6.0429597E-01   2.8795522E-02   1.5455915E-01
 126   2.2545092E+00   5.9947455E-01   2.8413627E-02   1.5681367E-01
 127   2.2725451E+00   5.9467882E-01   2.8035795E-02   1.5906815E-01
 128   2.2905812E+00   5.8990860E-01   2.7661985E-02   1.6132268E-01
 129   2.3086174E+00   5.8516395E-01   2.7292171E-02   1.6357718E-01
 130   2.3266535E+00   5.8044499E-01   2.6926331E-02   1.6583170E-01
 131   2.3446896E+00   5.7575130E-01   2.6564419E-02   1.6808623E-01
 132   2.3627255E+00   5.7108313E-01   2.6206417E-02   1.7034072E-01
 133   2.3807616E+00   5.6644022E-01   2.5852283E-02   1.7259522E-01
 134   2.3987978E+00   5.6182247E-01   2.5501981E-02   1.7484973E-01
 135   2.4168339E+00   5.5722994E-01   2.5155496E-02   1.7710426E-01
 136   2.4348698E+00   5.5266255E-01   2.4812788E-02   1.7935875E-01
 137   2.4529059E+00   5.4812020E-01   2.4473824E-02   1.8161325E-01
 138   2.4709420E+00   5.4360271E-01   2.4138564E-02   1.8386777E-01
 139   2.4889781E+00   5.3911006E-01   2.3806991E-02   1.8612230E-01
 140   2.5070143E+00   5.3464234E-01   2.3479080E-02   1.8837681E-01
 141   2.5250502E+00   5.3019941E-01   2.3154790E-02   1.9063130E-01
 142   2.5430863E+00   5.2578115E-01   2.2834096E-02   1.9288580E-01
 143   2.5611224E+00   5.2138740E-01   2.2516955E-02   1.9514033E-01
 144   2.5791585E+00   5.1701820E-01   2.2203349E-02   1.9739485E-01
 145   2.5971944E+00   5.1267356E-01   2.1893254E-02   1.9964933E-01
 146   2.6152306E+00   5.0835335E-01   2.1586634E-02   2.0190383E-01
 147   2.6332667E+00   5.0405735E-01   2.1283451E-02   2.0415837E-01
 148   2.6513028E+00   4.9978572E-01   2.0983690E-02   2.0641288E-01
 149   2.6693387E+00   4.9553832E-01   2.0687319E-02   2.0866737E-01
 150   2.6873748E+00   4.9131495E-01   2.0394299E-02   2.1092187E-01
 151   2.7054110E+00   4.8711574E-01   2.0104613E-02   2.1317640E-01
 152   2.7234471E+00   4.8294052E-01   1.9818231E-02   2.1543092E-01
 153   2.7414832E+00   4.7878912E-01   1.9535113E-02   2.1768542E-01
 154   2.7595191E+00   4.7466171E-01   1.9255247E-02   2.1993990E-01
 155   2.7775552E+00   4.7055796E-01   1.8978592E-02   2.2219443E-01
 156   2.7955914E+00   4.6647802E-01   1.8705133E-02   2.2444895E-01
 157   2.8136275E+00   4.6242177E-01   1.8434836E-02   2.2670345E-01
 158   2.8316634E+00   4.5838907E-01   1.8167671E-02   2.2895794E-01
 159   2.8496995E+00   4.5437980E-01   1.7903605E-02   2.3121247E-01
 160   2.8677356E+00   4.5039397E-01   1.7642621E-02   2.3346698E-01
 161   2.8857718E+00   4.4643164E-01   1.7384695E-02   2.3572148E-01
 162   2.9038079E+00   4.4249249E-01   1.7129788E-02   2.3797601E-01
 163   2.9218438E+00   4.3857667E-01   1.6877886E-02   2.4023050E-01
 164   2.9398799E+00   4.3468404E-01   1.6628956E-02   2.4248502E-01
 165   2.9579160E+00   4.3081442E-01   1.6382966E-02   2.4473952E-01
 166   2.9759521E+00   4.2696792E-01   1.6139902E-02   2.4699405E-01
 167   2.9939880E+00   4.2314440E-01   1.5899731E-02   2.4924853E-01
 168   3.0120242E+00   4.1934374E-01   1.5662428E-02   2.5150305E-01
 169   3.0300603E+00   4.1556585E-01   1.5427962E-02   2.5375757E-01
 170   3.0480964E+00   4.1181070E-01   1.5196311E-02   2.5601208E-01
 171   3.0661323E+00   4.0807834E-01   1.4967457E-02   2.5826657E-01
 172   3.0841684E+00   4.0436858E-01   1.4741370E-02   2.6052108E-01
 173   3.1022046E+00   4.0068141E-01   1.4518022E-02   2.6277560E-01
 174   3.1202407E+00   3.9701658E-01   1.4297384E-02   2.6503012E-01
 175   3.1382768E+00   3.9337420E-01   1.4079437E-02   2.6728463E-01
 176   3.1563127E+00   3.8975424E-01   1.3864161E-02   2.6953912E-01
 177   3.1743488E+00   3.8615659E-01   1.3651527E-02   2.7179363E-01
 178   3.1923850E+00   3.8258111E-01   1.3441509E-02   2.7404815E-01
 179   3.2104211E+00   3.7902769E-01   1.3234079E-02   2.7630267E-01
 180   3.2284570E+00   3.7549645E-01   1.3029223E-02   2.7855715E-01
 181   3.2464931E+00   3.7198707E-01   1.2826907E-02   2.8081167E-01
 182   3.2645292E+00   3.6849976E-01   1.2627116E-02   2.8306618E-01
 183   3.2825654E+00   3.6503431E-01   1.2429823E-02   2.8532070E-01
 184   3.3006015E+00   3.6159056E-01   1.2235000E-02   2.8757522E-01
 185   3.3186374E+00   3.5816863E-01   1.2042631E-02   2.8982970E-01
 186   3.3366735E+00   3.5476825E-01   1.1852685E-02   2.9208422E-01
 187   3.3547096E+00   3.5138956E-01   1.1665148E-02   2.9433873E-01
 188   3.3727458E+00   3.4803239E-01   1.1479992E-02   2.9659325E-01
 189   3.3907816E+00   3.4469667E-01   1.1297196E-02   2.9884773E-01
 190   3.4088178E+00   3.4138227E-01   1.1116730E-02   3.0110225E-01
 191   3.4268539E+00   3.3808914E-01   1.0938578E-02   3.0335677E-01
 192   3.4448900E+00   3.3481738E-01   1.0762722E-02   3.0561128E-01
 193   3.4629259E+00   3.3156678E-01   1.0589135E-02   3.0786577E-01
 194   3.4809620E+00   3.2833728E-01   1.0417796E-02   3.1012028E-01
 195   3.4989982E+00   3.2512873E-01   1.0248677E-02   3.1237480E-01
 196   3.5170343E+00   3.2194117E-01   1.0081761E-02   3.1462932E-01
 197   3.5350704E+00   3.1877461E-01   9.9170310E-03   3.1688383E-01
 198   3.5531063E+00   3.1562886E-01   9.7544622E-03   3.1913832E-01
 199   3.5711424E+00   3.1250387E-01   9.5940316E-03   3.2139283E-01
 200   3.5891786E+00   3.0939949E-01   9.4357161E-03   3.2364735E-01
 201   3.6072147E+00   3.0631575E-01   9.2794960E-03   3.2590187E-01
 202   3.6252506E+00   3.0325264E-01   9.1253566E-03   3.2815635E-01
 203   3.6432867E+00   3.0021003E-01   8.9732725E-03   3.3041087E-01
 204   3.6613228E+00   2.9718783E-01   8.8232225E-03   3.3266538E-01
 205   3.6793590E+00   2.9418591E-01   8.6751822E-03   3.3491990E-01
 206   3.6973951E+00   2.9120427E-01   8.5291369E-03   3.3717442E-01
 207   3.7154310E+00   2.8824294E-01   8.3850687E-03   3.3942890E-01
 208   3.7334671E+00   2.8530172E-01   8.2429536E-03   3.4168342E-01
 209   3.7515032E+00   2.8238061E-01   8.1027718E-03   3.4393793E-01
 210   3.7695394E+00   2.7947941E-01   7.9645002E-03   3.4619245E-01
 211   3.7875752E+00   2.7659822E-01   7.8281267E-03   3.4844694E-01
 212   3.8056114E+00   2.7373683E-01   7.6936232E-03   3.5070145E-01
 213   3.8236475E+00   2.7089533E-01   7.5609791E-03   3.5295597E-01
 214   3.8416836E+00   2.6807356E-01   7.4301707E-03   3.5521048E-01
 215   3.8597198E+00   2.6527137E-01   7.3011760E-03   3.5746500E-01
 216   3.8777556E+00   2.6248884E-01   7.1739820E-03   3.5971949E-01
 217   3.8957918E+00   2.5972578E-01   7.0485640E-03   3.6197400E-01
 218   3.9138279E+00   2.5698227E-01   6.9249091E-03   3.6422852E-01
 219   3.9318640E+00   2.5425813E-01   6.8029962E-03   3.6648303E-01
 220   3.9498999E+00   2.5155330E-01   6.6828062E-03   3.6873752E-01
 221   3.9679360E+00   2.4886765E-01   6.5643173E-03   3.7099203E-01
 222   3.9859722E+00   2.4620119E-01   6.4475164E-03   3.7324655E-01
 223   4.0040083E+00   2.4355392E-01   6.3323858E-03   3.7550107E-01
 224   4.0220442E+00   2.4092568E-01   6.2189065E-03   3.7775555E-01
 225   4.0400805E+00   2.3831630E-01   6.1070533E-03   3.8001013E-01
 226   4.0581164E+00   2.3572595E-01   5.9968219E-03   3.8226461E-01
 227   4.0761523E+00   2.3315445E-01   5.8881883E-03   3.8451910E-01
 228   4.0941887E+00   2.3060170E-01   5.7811337E-03   3.8677365E-01
 229   4.1122246E+00   2.2806767E-01   5.6756423E-03   3.8902813E-01
 230   4.1302609E+00   2.2555220E-01   5.5716946E-03   3.9128265E-01
 231   4.1482968E+00   2.2305535E-01   5.4692775E-03   3.9353713E-01
 232   4.1663327E+00   2.2057702E-01   5.3683720E-03   3.9579162E-01
 233   4.1843691E+00   2.1811703E-01   5.2689584E-03   3.9804620E-01
 234   4.2024050E+00   2.1567546E-01   5.1710266E-03   4.0030068E-01
 235   4.2204409E+00   2.1325219E-01   5.0745560E-03   4.0255517E-01
 236   4.2384772E+00   2.1084708E-01   4.9795276E-03   4.0480971E-01
 237   4.2565131E+00   2.0846017E-01   4.8859310E-03   4.0706420E-01
 238   4.2745495E+00   2.0609130E-01   4.7937450E-03   4.0931872E-01
 239   4.2925854E+00   2.0374049E-01   4.7029578E-03   4.1157320E-01
 240   4.3106213E+00   2.0140763E-01   4.6135518E-03   4.1382769E-01
 241   4.3286576E+00   1.9909252E-01   4.5255059E-03   4.1608226E-01
 242   4.3466935E+00   1.9679534E-01   4.4388133E-03   4.1833675E-01
 243   4.3647299E+00   1.9451591E-01   4.3534548E-03   4.2059129E-01
 244   4.3827658E+00   1.9225414E-01   4.2694150E-03   4.2284578E-01
 245   4.4008017E+00   1.9000998E-01   4.1866777E-03   4.2510027E-01
 246   4.4188380E+00   1.8778329E-01   4.1052261E-03   4.2735478E-01
 247   4.4368739E+00   1.8557411E-01   4.0250490E-03   4.2960927E-01
 248   4.4549103E+00   1.8338227E-01   3.9461278E-03   4.3186384E-01
 249   4.4729462E+00   1.8120784E-01   3.8684511E-03   4.3411833E-01
 250   4.4909821E+00   1.7905064E-01   3.7920028E-03   4.3637282E-01
 251   4.5090184E+00   1.7691058E-01   3.7167657E-03   4.3862736E-01
 252   4.5270543E+00   1.7478770E-01   3.6427299E-03   4.4088185E-01
 253   4.5450902E+00   1.7268187E-01   3.5698784E-03   4.4313633E-01
 254   4.5631266E+00   1.7059296E-01   3.4981950E-03   4.4539085E-01
 255   4.5811625E+00   1.6852102E-01   3.4276701E-03   4.4764534E-01
 256   4.5991988E+00   1.6646582E-01   3.3582833E-03   4.4989991E-01
 257   4.6172347E+00   1.6442750E-01   3.2900285E-03   4.5215440E-01
 258   4.6352706E+00   1.6240591E-01   3.2228879E-03   4.5440888E-01
 259   4.6533070E+00   1.6040093E-01   3.1568483E-03   4.5666343E-01
 260   4.6713428E+00   1.5841253E-01   3.0918953E-03   4.5891792E-01
 261   4.6893792E+00   1.5644059E-01   3.0280142E-03   4.6117243E-01
 262   4.7074151E+00   1.5448512E-01   2.9651951E-03   4.6342692E-01
 263   4.7254510E+00   1.5254602E-01   2.9034230E-03   4.6568140E-01
 264   4.7434874E+00   1.5062316E-01   2.8426833E-03   4.6793598E-01
 265   4.7615232E+00   1.4871658E-01   2.7829655E-03   4.7019047E-01
 266   4.7795591E+00   1.4682616E-01   2.7242559E-03   4.7244495E-01
 267   4.7975955E+00   1.4495178E-01   2.6665397E-03   4.7469950E-01
 268   4.8156314E+00   1.4309345E-01   2.6098075E-03   4.7695398E-01
 269   4.8336678E+00   1.4125104E-01   2.5540437E-03   4.7920850E-01
 270   4.8517036E+00   1.3942456E-01   2.4992386E-03   4.8146299E-01
 271   4.8697395E+00   1.3761389E-01   2.4453783E-03   4.8371747E-01
 272   4.8877759E+00   1.3581888E-01   2.3924476E-03   4.8597205E-01
 273   4.9058118E+00   1.3403963E-01   2.3404404E-03   4.8822653E-01
 274   4.9238482E+00   1.3227600E-01   2.2893415E-03   4.9048108E-01
 275   4.9418840E+00   1.3052790E-01   2.2391393E-03   4.9273556E-01
 276   4.9599199E+00   1.2879527E-01   2.1898213E-03   4.9499005E-01
 277   4.9779563E+00   1.2707798E-01   2.1413751E-03   4.9724457E-01
 278   4.9959922E+00   1.2537609E-01   2.0937913E-03   4.9949905E-01
 279   5.0140285E+00   1.2368941E-01   2.0470561E-03   5.0175363E-01
 280   5.0320644E+00   1.2201797E-01   2.0011603E-03   5.0400811E-01
 281   5.0501003E+00   1.2036166E-01   1.9560915E-03   5.0626260E-01
 282   5.0681367E+00   1.1872036E-01   1.9118371E-03   5.0851715E-01
 283   5.0861726E+00   1.1709409E-01   1.8683885E-03   5.1077163E-01
 284   5.1042085E+00   1.1548274E-01   1.8257335E-03   5.1302612E-01
 285   5.1222448E+00   1.1388621E-01   1.7838599E-03   5.1528066E-01
 286   5.1402807E+00   1.1230449E-01   1.7427594E-03   5.1753515E-01
 287   5.1583171E+00   1.1073745E-01   1.7024188E-03   5.1978970E-01
 288   5.1763530E+00   1.0918509E-01   1.6628299E-03   5.2204418E-01
 289   5.1943889E+00   1.0764731E-01   1.6239808E-03   5.2429867E-01
 290   5.2124252E+00   1.0612400E-01   1.5858603E-03   5.2655321E-01
 291   5.2304611E+00   1.0461517E-01   1.5484600E-03   5.2880770E-01
 292   5.2484975E+00   1.0312066E-01   1.5117676E-03   5.3106225E-01
 293   5.2665334E+00   1.0164050E-01   1.4757751E-03   5.3331673E-01
 294   5.2845693E+00   1.0017457E-01   1.4404715E-03   5.3557122E-01
 295   5.3026056E+00   9.8722756E-02   1.4058459E-03   5.3782576E-01
 296   5.3206415E+00   9.7285084E-02   1.3718901E-03   5.4008025E-01
 297   5.3386774E+00   9.5861442E-02   1.3385938E-03   5.4233474E-01
 298   5.3567138E+00   9.4451711E-02   1.3059461E-03   5.4458928E-01
 299   5.3747497E+00   9.3055911E-02   1.2739396E-03   5.4684377E-01
 300   5.3927860E+00   9.1673896E-02   1.2425628E-03   5.4909831E-01
 301   5.4108219E+00   9.0305664E-02   1.2118082E-03   5.5135280E-01
 302   5.4288578E+00   8.8951111E-02   1.1816655E-03   5.5360729E-01
 303   5.4468942E+00   8.7610140E-02   1.1521248E-03   5.5586183E-01
 304   5.4649301E+00   8.6282752E-02   1.1231789E-03   5.5811632E-01
 305   5.4829664E+00   8.4968805E-02   1.0948167E-03   5.6037086E-01
 306   5.5010023E+00   8.3668292E-02   1.0670312E-03   5.6262535E-01
 307   5.5190382E+00   8.2381129E-02   1.0398127E-03   5.6487983E-01
 308   5.5370746E+00   8.1107192E-02   1.0131518E-03   5.6713438E-01
 309   5.5551105E+00   7.9846494E-02   9.8704128E-04   5.6938887E-01
 310   5.5731463E+00   7.8598931E-02   9.6147193E-04   5.7164335E-01
 311   5.5911827E+00   7.7364393E-02   9.3643460E-04   5.7389790E-01
 312   5.6092186E+00   7.6142885E-02   9.1192219E-04   5.7615238E-01
 313   5.6272550E+00   7.4934274E-02   8.8792521E-04   5.7840693E-01
 314   5.6452909E+00   7.3738545E-02   8.6443673E-04   5.8066142E-01
 315   5.6633267E+00   7.2555609E-02   8.4144785E-04   5.8291590E-01
 316   5.6813631E+00   7.1385361E-02   8.1895024E-04   5.8517045E-01
 317   5.6993990E+00   7.0227794E-02   7.9693692E-04   5.8742493E-01
 318   5.7174354E+00   6.9082782E-02   7.7539904E-04   5.8967948E-01
 319   5.7354712E+00   6.7950308E-02   7.5432990E-04   5.9193397E-01
 320   5.7535071E+00   6.6830285E-02   7.3372124E-04   5.9418845E-01
 321   5.7715435E+00   6.5722607E-02   7.1356498E-04   5.9644300E-01
 322   5.7895794E+00   6.4627260E-02   6.9385464E-04   5.9869748E-01
 323   5.8076158E+00   6.3544124E-02   6.7458180E-04   6.0095203E-01
 324   5.8256516E+00   6.2473193E-02   6.5574009E-04   6.0320652E-01
 325   5.8436875E+00   6.1414357E-02   6.3732185E-04   6.0546100E-01
 326   5.8617239E+00   6.0367528E-02   6.1931921E-04   6.0771555E-01
 327   5.8797598E+00   5.9332687E-02   6.0172629E-04   6.0997003E-01
 328   5.8977957E+00   5.8309745E-02   5.8453542E-04   6.1222452E-01
 329   5.9158320E+00   5.7298601E-02   5.6773925E-04   6.1447906E-01
 330   5.9338679E+00   5.6299236E-02   5.5133190E-04   6.1673355E-01
 331   5.9519043E+00   5.5311538E-02   5.3530559E-04   6.1898810E-01
 332   5.9699402E+00   5.4335486E-02   5.1965466E-04   6.2124258E-01
 333   5.9879761E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 334   6.0060124E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 335   6.0240483E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 336   6.0420847E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 337   6.0601206E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 338   6.0781565E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 339   6.0961928E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 340   6.1142287E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 341   6.1322646E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 342   6.1503010E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 343   6.1683369E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 344   6.1863732E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 345   6.2044091E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 346   6.2224450E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 347   6.2404814E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 348   6.2585173E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 349   6.2765536E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 350   6.2945895E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 351   6.3126254E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 352   6.3306618E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 353   6.3486977E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 354   6.3667340E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 355   6.3847699E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 356   6.4028058E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 357   6.4208422E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
 358   6.4388781E+00   5.4079339E-02   5.1557808E-04   6.2183881E-01
