# r_over_r0 reduced_flux Erad_cgs Frad_cgs
1.277847412339866429e+00 6.024692390976299494e-01 2.265667677101313150e-08 4.092152306321980859e+02
1.299099327202697607e+00 6.437245670326130487e-01 2.051866638899722350e-08 3.959769599751886631e+02
1.310721461758487028e+00 6.645542642624209240e-01 1.952551378970422798e-08 3.890036019360675255e+02
1.322343596314276448e+00 6.840539510414848090e-01 1.863767685883909148e-08 3.822106958469180427e+02
1.324842746272220539e+00 6.880153643522456397e-01 1.846066316965816894e-08 3.807729932477100760e+02
1.327341896230164631e+00 6.919107999749403159e-01 1.828780615854937977e-08 3.793433037639071017e+02
1.327591811225959040e+00 6.922904867972807796e-01 1.827090871101100907e-08 3.792007733404444707e+02
1.327841726221753449e+00 6.926592857455928787e-01 1.825432055094305999e-08 3.790583224215483824e+02
1.327883839998933668e+00 6.927190126450668561e-01 1.825159112509842724e-08 3.790343254980427901e+02
1.327925953776113888e+00 6.928197665147529660e-01 1.824778162871167949e-08 3.790103308303028484e+02
1.327927953776113723e+00 6.928208795403488773e-01 1.824769745320448713e-08 3.790091913701074873e+02
1.327970035360432455e+00 6.929215285553761428e-01 1.824389284029682155e-08 3.789852174044477238e+02
1.328012116944751186e+00 6.929811537922820897e-01 1.824116923558124223e-08 3.789612456905523459e+02
1.328261908547784698e+00 6.933485100854400729e-01 1.822466114437386465e-08 3.788189986022702556e+02
1.328511700150818209e+00 6.937254989917313042e-01 1.820792152198694684e-08 3.786768307883712623e+02
1.331009616181153321e+00 6.974992333200198402e-01 1.804162899027229764e-08 3.772595003393184925e+02
1.333507532211488433e+00 7.012435986995630977e-01 1.787824904938393622e-08 3.758500354898656042e+02
1.348197675261734840e+00 7.215819540115038233e-01 1.699838354720004665e-08 3.677172391033038252e+02
1.362887818311981247e+00 7.399821398338497502e-01 1.622078134937429320e-08 3.598435402814147892e+02
1.390898396872669140e+00 7.705725193229715497e-01 1.495640354247986992e-08 3.455106147108958794e+02
1.418908975433357034e+00 7.955835830955367838e-01 1.392031187689575203e-08 3.320133000000844845e+02
1.446919553994044927e+00 8.159602028242942673e-01 1.305251983049247665e-08 3.192890626291773515e+02
1.496747900959493283e+00 8.435347763492995199e-01 1.179940762237771996e-08 2.983897491690152037e+02
1.546576247924941638e+00 8.636240495720141075e-01 1.079436353580702643e-08 2.794746821838933784e+02
1.596404594890389994e+00 8.791200480310583654e-01 9.952498041173527408e-09 2.623016290403775201e+02
1.646232941855838350e+00 8.916142219547158465e-01 9.227997027531266418e-09 2.466636400124249064e+02
1.734375178853998056e+00 9.091912467741695147e-01 8.153162862422567086e-09 2.222296828330790390e+02
1.822517415852157763e+00 9.224110306819669480e-01 7.277792911337121628e-09 2.012541684514484359e+02
1.910659652850317469e+00 9.323283560477764187e-01 6.551368291360504820e-09 1.831140256663184118e+02
1.998801889848477176e+00 9.400305847321852593e-01 5.937260295798599041e-09 1.673203545558839949e+02
2.086944126846637104e+00 9.463952883490297507e-01 5.409702260886093429e-09 1.534852463072307103e+02
2.272433441672774723e+00 9.563968807764520186e-01 4.514889045582422516e-09 1.294511568363405729e+02
2.457922756498912342e+00 9.638255901339627396e-01 3.829417015942469982e-09 1.106501019861635768e+02
2.643412071325049961e+00 9.695659269448310136e-01 3.291247133925901363e-09 9.566620401136817975e+01
2.828901386151187580e+00 9.740199695318354500e-01 2.860645873254432982e-09 8.353195821790863818e+01
3.195695155395610776e+00 9.804830097508788755e-01 2.226880004038710651e-09 6.545722516738128149e+01
3.500000000000000000e+00 9.840687773348448797e-01 1.849720182475050407e-09 5.456977847985999830e+01
